文物采样点,二氧化硅(SiO2),氧化钠(Na2O),氧化钾(K2O),氧化钙(CaO),氧化镁(MgO),氧化铝(Al2O3),氧化铁(Fe2O3),氧化铜(CuO),氧化铅(PbO),氧化钡(BaO),五氧化二磷(P2O5),氧化锶(SrO),氧化锡(SnO2),二氧化硫(SO2),总和,类型,是否风化,颜色,纹饰
44未风化点,60.74,3.06,0.2,2.14,,12.69,0.77,0.43,13.61,5.22,,0.26,,,99.12,铅钡,无风化,浅蓝,A
45,61.28,2.66,0.11,0.84,0.74,5,,0.53,15.99,10.96,,0.23,,,98.34,铅钡,无风化,浅蓝,A
46,55.21,,0.25,,1.67,4.79,,0.77,25.25,10.06,0.2,0.43,,,98.63,铅钡,无风化,浅蓝,A
47,51.54,4.66,0.29,0.87,0.61,3.06,,0.65,25.4,9.23,0.1,0.85,,,97.26,铅钡,无风化,浅蓝,A
48,53.33,0.8,0.32,2.82,1.54,13.65,1.03,,15.71,7.31,1.1,0.25,1.31,,99.17,铅钡,风化,,A
49,28.79,,,4.58,1.47,5.38,2.74,0.7,34.18,6.1,11.1,0.46,,,95.5,铅钡,风化,黑,A
49未风化点,54.61,,0.3,2.08,1.2,6.5,1.27,0.45,23.02,4.19,4.32,0.3,,,98.24,铅钡,无风化,黑,A
50,17.98,,,3.19,0.47,1.87,0.33,1.13,44,14.2,6.34,0.66,,,90.17,铅钡,风化,黑,A
50未风化点,45.02,,,3.12,0.54,4.16,,0.7,30.61,6.22,6.34,0.23,,,96.94,铅钡,无风化,黑,A
51部位1,24.61,,,3.58,1.19,5.25,1.19,1.37,40.24,8.94,8.1,0.39,0.47,,95.33,铅钡,风化,浅蓝,C
51部位2,21.35,,,5.13,1.45,2.51,0.42,0.75,51.34,,8.75,,,,91.7,铅钡,风化,浅蓝,C
52,25.74,1.22,,2.27,0.55,1.16,0.23,0.7,47.42,8.64,5.71,0.44,,,94.08,铅钡,风化,浅蓝,C
53未风化点,63.66,3.04,0.11,0.78,1.14,6.06,,0.54,13.66,8.99,,0.27,,,98.25,铅钡,无风化,浅蓝,A
54,22.28,,0.32,3.19,1.28,4.15,,0.83,55.46,7.04,4.24,0.88,,,99.67,铅钡,风化,浅蓝,C
54严重风化点,17.11,,,,1.11,3.65,,1.34,58.46,,14.13,1.12,,,96.92,铅钡,风化,浅蓝,C
55,49.01,2.71,,1.13,,1.45,0,0.86,32.92,7.95,0.35,,,,96.38,铅钡,无风化,绿,C
56,29.15,3.097647059,,1.21,,1.85,1.303488372,0.79,41.25,15.45,2.54,,,,96.64113543,铅钡,风化,蓝绿,C
57,25.42,,,1.31,,2.18,1.303488372,1.16,45.1,17.3,3.060363636,,,,96.83385201,铅钡,风化,蓝绿,C
58,30.39,,0.34,3.49,0.79,3.52,0.86,3.13,39.35,7.66,8.99,0.24,,,98.76,铅钡,风化,,C
